기준일,시군구명,구분,품목,규격 및 단위,물가동향,데이터기준일자
2023-04-04,장안구,개인서비스요금(외식비),설렁탕,1인분(보통),8833 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),냉면,"물냉면,1인분(보통)",7900 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),비빕밥,1인분(보통),6850 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),갈비탕,1인분(보통),12450 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),삼계탕,"닭 1마리,1인분(보통)",14800 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),김치찌개,1인분(보통),7550 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),된장찌개,1인분(보통),7550 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),불고기,"쇠고기 200g(국내산육우), 공기밥 제외",12500 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),삼겹살(외식),"돼지고기 200g(국내산), 공기밥 제외",15360 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),등심구이(외식),"쇠고기 200g(한우, 1+), 1인분",43629 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),돼지갈비(외식),국내산 200g,14700 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),짜장면,중화요리점 1그릇(보통),5950 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),짬뽕,중화요리점 1그릇(보통),7700 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),탕수육,"중화요리점 1그릇(중, 돼지고기)",22400 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),생선초밥,"일식집 1인분, 활어기준",13530 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),돈까스,"돈까스(국내산) 식당, 1인분",8050 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),햄버거,"전문점, 불고기 버거 1개",3638 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),피자,"전문점, 불고기 피자, 기본형(레귤러)",14450 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),커피(외식),"커피전문점, 일반 원두커피 1잔",3070 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),국산차(외식),녹차 1잔,3900 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),치킨,"튀김통닭, 후라이드",16540 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),칼국수,칼국수 전문점 1그릇,7300 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),조리라면(외식),분식집 1인분,4100 ,2023-04-28
2023-04-04,장안구,개인서비스요금(외식비),김밥,"일반김밥, 1줄",2550 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",세탁료,"신사복, 상하 드라이클리닝 1회",7380 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",의복수선료,"신사복 하의길의 수단(바지밑단줄임), 1회",3800 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",목욕료,"일반 대중탕, 성인1회",8286 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",이용료,"성인남성이발, 중류급 1회",10400 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",미용료(커트),"성인여자커트, 중류급 1회(주택,아파트단지 등 일반업소)",12800 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",미용료(파마),"성인여자 기본, 중류급 1회(주택,아파트단지 등 일반업소_)",44500 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",찜질방이용료,성인1회(찜질복 대여료 포함),10333 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",숙박(호텔),관광호텔 1급 기준 대여료 포함,,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",숙박(여관),"갑류, 독방 1박, 욕실부설, 1일",40714 ,2023-04-28
2023-04-04,장안구,"(세탁업,이미용업,숙박업등)",콘도이용료,"약 82.65㎡ 회원기준,1일 사용기준",,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),영화관람료,"주중 상영시간, 1매(입장세 및 문예진흥기금 포함)",14000 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),수영장이용료,"성인일반 입장료(체육기금포함),1회",12500 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),볼링장이용료,"일반인, 평일 오후시간(신발제외), 1시간",4375 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),골프연습장이용료,"초급반(남자),회비 레슨비(진흥기금 포함,의복 및 신발제외), 1개월",191750 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),노래방이용료,"일반인, 저녁시간대,일반실,1시간",27000 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),당구장이용료,"쿠션 당구대, 일반인, 저녁시간 1시간",9000 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),운동경기관람료,"성인 경기입장료(축구,야구 등), 1회",12000 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),PC방 이용료,기본시간 1회,1120 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),택배수수료,"무게 20kg이하, 타지역 1개",7930 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),사진촬영료,"반명함판 컬러 3*4㎝, 1조(8매)",20625 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),사진인화료,"디지털 사진인화요금(현상료 포함), 1매",543 ,2023-04-28
2023-04-04,장안구,개인서비스요금(기타),공동주택관리비,"아파트, 개별부담금 제외한 전금액",157396 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),사과,"상품, 1개",2052 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),배,"상품, 1개",3051 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),배추,"2kg(중간크기), 1포기",4085 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),무,"1kg, 잎 없는것",1763 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),양파,"작은망(까지않은것 1.5kg), 1망",4190 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),상추,"적상추 ,100g",1107 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),오이,"다다기오이,1개",960 ,2023-04-28
2023-04-04,장안구,생필품 요금(농산물 8),호박,"애호박(중), 1개",1922 ,2023-04-28
2023-04-04,장안구,축산물(4),쇠고기,"한우불고기(1등급), 600g",27980 ,2023-04-28
2023-04-04,장안구,축산물(4),돼지고기,"생삼겹살(국내산), 600g",15304 ,2023-04-28
2023-04-04,장안구,축산물(4),닭고기,"육계(국내산), 1마리(1kg)",8695 ,2023-04-28
2023-04-04,장안구,축산물(4),달걀,"10개입, 1판 10개",4077 ,2023-04-28
2023-04-04,장안구,수산물(4),갈치,"생물(60cm), 1마리",8548 ,2023-04-28
2023-04-04,장안구,수산물(4),동태,"냉동, 1kg, 1마리",3125 ,2023-04-28
2023-04-04,장안구,수산물(4),오징어,"물오징어(생물) 25cm, 1마리",4248 ,2023-04-28
2023-04-04,장안구,수산물(4),고등어,"자반고등어 30cm,1마리",3554 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),설렁탕,1인분(보통),10167 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),냉면,"물냉면,1인분(보통)",8000 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),비빕밥,1인분(보통),7300 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),갈비탕,1인분(보통),14200 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),삼계탕,"닭 1마리,1인분(보통)",15000 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),김치찌개,1인분(보통),7850 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),된장찌개,1인분(보통),7600 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),불고기,"쇠고기 200g(국내산육우), 공기밥 제외",13833 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),삼겹살(외식),"돼지고기 200g(국내산), 공기밥 제외",14700 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),등심구이(외식),"쇠고기 200g(한우, 1+), 1인분",38467 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),돼지갈비(외식),국내산 200g,14152 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),짜장면,중화요리점 1그릇(보통),6300 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),짬뽕,중화요리점 1그릇(보통),8150 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),탕수육,"중화요리점 1그릇(중, 돼지고기)",23350 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),생선초밥,"일식집 1인분, 활어기준",16100 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),돈까스,"돈까스(국내산) 식당, 1인분",9490 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),햄버거,"전문점, 불고기 버거 1개",4050 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),피자,"전문점, 불고기 피자, 기본형(레귤러)",15270 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),커피(외식),"커피전문점, 일반 원두커피 1잔",3410 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),국산차(외식),녹차 1잔,3950 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),치킨,"튀김통닭, 후라이드",16200 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),칼국수,칼국수 전문점 1그릇,8200 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),조리라면(외식),분식집 1인분,3900 ,2023-04-28
2023-04-04,권선구,개인서비스요금(외식비),김밥,"일반김밥, 1줄",2850 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",세탁료,"신사복, 상하 드라이클리닝 1회",7470 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",의복수선료,"신사복 하의길의 수단(바지밑단줄임), 1회",4500 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",목욕료,"일반 대중탕, 성인1회",8333 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",이용료,"성인남성이발, 중류급 1회",13600 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",미용료(커트),"성인여자커트, 중류급 1회(주택,아파트단지 등 일반업소)",17500 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",미용료(파마),"성인여자 기본, 중류급 1회(주택,아파트단지 등 일반업소_)",50700 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",찜질방이용료,성인1회(찜질복 대여료 포함),10667 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",숙박(호텔),관광호텔 1급 기준 대여료 포함,23333 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",숙박(여관),"갑류, 독방 1박, 욕실부설, 1일",21667 ,2023-04-28
2023-04-04,권선구,"(세탁업,이미용업,숙박업등)",콘도이용료,"약 82.65㎡ 회원기준,1일 사용기준",,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),영화관람료,"주중 상영시간, 1매(입장세 및 문예진흥기금 포함)",11000 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),수영장이용료,"성인일반 입장료(체육기금포함),1회",2083 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),볼링장이용료,"일반인, 평일 오후시간(신발제외), 1시간",3733 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),골프연습장이용료,"초급반(남자),회비 레슨비(진흥기금 포함,의복 및 신발제외), 1개월",203375 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),노래방이용료,"일반인, 저녁시간대,일반실,1시간",30000 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),당구장이용료,"쿠션 당구대, 일반인, 저녁시간 1시간",9100 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),운동경기관람료,"성인 경기입장료(축구,야구 등), 1회",5000 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),PC방 이용료,기본시간 1회,1120 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),택배수수료,"무게 20kg이하, 타지역 1개",7370 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),사진촬영료,"반명함판 컬러 3*4㎝, 1조(8매)",33500 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),사진인화료,"디지털 사진인화요금(현상료 포함), 1매",610 ,2023-04-28
2023-04-04,권선구,개인서비스요금(기타),공동주택관리비,"아파트, 개별부담금 제외한 전금액",143634 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),사과,"상품, 1개",1968 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),배,"상품, 1개",3670 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),배추,"2kg(중간크기), 1포기",3731 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),무,"1kg, 잎 없는것",1752 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),양파,"작은망(까지않은것 1.5kg), 1망",3883 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),상추,"적상추 ,100g",1105 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),오이,"다다기오이,1개",1040 ,2023-04-28
2023-04-04,권선구,생필품 요금(농산물 8),호박,"애호박(중), 1개",2100 ,2023-04-28
2023-04-04,권선구,축산물(4),쇠고기,"한우불고기(1등급), 600g",30164 ,2023-04-28
2023-04-04,권선구,축산물(4),돼지고기,"생삼겹살(국내산), 600g",14990 ,2023-04-28
2023-04-04,권선구,축산물(4),닭고기,"육계(국내산), 1마리(1kg)",8968 ,2023-04-28
2023-04-04,권선구,축산물(4),달걀,"10개입, 1판 10개",3863 ,2023-04-28
2023-04-04,권선구,수산물(4),갈치,"생물(60cm), 1마리",9462 ,2023-04-28
2023-04-04,권선구,수산물(4),동태,"냉동, 1kg, 1마리",4617 ,2023-04-28
2023-04-04,권선구,수산물(4),오징어,"물오징어(생물) 25cm, 1마리",5148 ,2023-04-28
2023-04-04,권선구,수산물(4),고등어,"자반고등어 30cm,1마리",4799 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),설렁탕,1인분(보통),9156 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),냉면,"물냉면,1인분(보통)",8250 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),비빕밥,1인분(보통),7600 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),갈비탕,1인분(보통),11800 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),삼계탕,"닭 1마리,1인분(보통)",14500 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),김치찌개,1인분(보통),7300 ,2023-04-28
2023-04-04,팔달구,개인서비스요금(외식비),된장찌개,1인분(보통),7000 ,2023-04-28
